ageclass,detection,movement,water use,foraging,inactive
juvenile,NA,0,1,0,0
juvenile,NA,0,0,0,1
juvenile,NA,0,0,0,0
juvenile,NA,1,0,0,0
adult,NA,1,0,0,0
juvenile,NA,1,1,0,0
adult,VES,0,0,0,1
juvenile,VES,1,NA,0,0
adult,VES,0,1,0,0
adult,VES,0,1,1,1
adult,VES,0,1,1,1
juvenile,VES,0,1,0,0
adult,VES,1,1,NA,0
juvenile,VES,0,1,0,0
adult,Telemetry,0,1,1,0
adult,Telemetry,0,1,1,0
adult,VES,0,1,1,0
juvenile,VES,0,1,1,0
adult,Telemetry,0,0,0,1
adult,Telemetry,0,0,0,1
adult,VES,0,0,0,0
juvenile,VES,1,0,0,0
juvenile,VES,1,0,0,0
adult,Telemetry,1,0,0,0
adult,Telemetry,0,0,0,0
adult,Telemetry,0,0,0,1
adult,VES,1,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
adult,Telemetry,0,0,0,1
adult,Telemetry,0,0,0,1
adult,Telemetry,0,0,0,1
juvenile,VES,0,1,1,0
adult,Telemetry,0,0,0,1
juvenile,VES,1,0,0,0
adult,VES,1,1,0,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
adult,VES,0,1,1,0
juvenile,VES,NA,NA,NA,NA
juvenile,VES,NA,NA,NA,NA
juvenile,VES,NA,NA,NA,NA
juvenile,VES,NA,NA,NA,NA
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,0,0,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,0,0,0,0
juvenile,VES,0,1,1,0
juvenile,VES,0,1,1,0
juvenile,VES,1,1,NA,0
juvenile,VES,1,1,NA,0
juvenile,VES,1,1,NA,0
juvenile,VES,1,0,0,0
juvenile,VES,1,1,NA,0
juvenile,VES,1,1,NA,0
juvenile,VES,NA,NA,NA,1
juvenile,VES,1,0,0,0
juvenile,VES,1,0,0,0
adult,Telemetry,0,1,1,0
juvenile,VES,0,1,1,0
adult,Telemetry,0,0,0,1
adult,Telemetry,0,0,0,1
adult,Telemetry,0,0,0,1
juvenile,VES,1,0,0,0
juvenile,VES,0,1,0,0
adult,VES,0,1,0,0
adult,Telemetry,1,0,0,0
adult,VES,0,0,0,0
adult,VES,1,1,1,0
adult,VES,1,1,1,0
adult,Telemetry,0,0,0,1
adult,Telemetry,NA,NA,NA,NA
adult,Telemetry,NA,NA,NA,NA
adult,Telemetry,NA,NA,NA,NA
adult,Telemetry,NA,NA,NA,NA
juvenile,VES,0,0,0,0
adult,VES,0,0,0,1
adult,Telemetry,0,0,0,1
adult,Telemetry,NA,NA,NA,NA
adult,Telemetry,NA,NA,NA,NA
adult,VES,0,0,0,0
adult,Telemetry,NA,NA,NA,NA
adult,Telemetry,NA,NA,NA,NA
adult,VES,1,0,0,0
adult,VES,0,1,0,0
juvenile,VES,NA,NA,NA,NA
juvenile,VES,NA,NA,NA,NA
juvenile,VES,1,1,0,0
adult,VES,1,0,0,0
adult,VES,1,0,0,0
adult,VES,1,0,0,0
adult,VES,1,0,0,0
adult,VES,1,0,0,0
adult,VES,0,0,0,0